z1,z2,z3,z4,z5,z6,z7,z8,t
-1.943882,2.0591784,-1.7246041,2.4215245,-0.119385585,-1.058634,-1.563005,-0.96394056,0
-2.2153952,2.1026971,-0.86780494,1.6336029,-1.110224,0.24043518,-0.29182237,-0.6289598,1
-2.070565,1.5299371,0.06196366,-0.2596594,-1.7672694,0.9929235,1.0562797,0.19594285,2
-0.543742,0.56835943,0.16576184,-1.1608089,-0.5698125,0.010916024,0.40444145,0.6769997,3
0.6132654,-0.12325791,-0.14525253,-1.7393849,0.4845963,-0.9376109,-0.4632279,0.8970808,4
1.174236,-0.11262413,-0.99870723,-0.7256041,1.3073515,-2.1069603,-1.2735193,0.10799294,5
