start,end,n_frames,mean_pct_disallowed,max_pct_disallowed,mean_rama_distance,max_rama_distance,deep_recon_error,z1,z2,z3,z4,z5,z6,z7,z8
0,50,50,66.13513513513512,75.67567567567568,1.554183400951247,3.609773843697736,0.062964275,-1.943882,2.0591784,-1.7246041,2.4215245,-0.119385585,-1.058634,-1.563005,-0.96394056
25,75,50,66.02702702702702,74.32432432432432,1.5463131842840034,3.692686143966869,0.10583969,-2.2153952,2.1026971,-0.86780494,1.6336029,-1.110224,0.24043518,-0.29182237,-0.6289598
50,100,50,66.1891891891892,74.32432432432432,1.5407742946329523,3.6101820138122545,0.043125957,-2.070565,1.5299371,0.06196366,-0.2596594,-1.7672694,0.9929235,1.0562797,0.19594285
75,125,50,65.4054054054054,74.32432432432432,1.5355019068438165,3.6300123522837864,0.38690838,-0.543742,0.56835943,0.16576184,-1.1608089,-0.5698125,0.010916024,0.40444145,0.6769997
100,150,50,65.9189189189189,74.32432432432432,1.5468700683050642,3.6953761399856706,0.079517305,0.6132654,-0.12325791,-0.14525253,-1.7393849,0.4845963,-0.9376109,-0.4632279,0.8970808
125,175,50,65.4864864864865,74.32432432432432,1.553811318079036,3.7381845375690177,0.036998395,1.174236,-0.11262413,-0.99870723,-0.7256041,1.3073515,-2.1069603,-1.2735193,0.10799294
