start,end,n_frames,mean_pct_disallowed,max_pct_disallowed,mean_rama_distance,max_rama_distance
0,50,50,66.13513513513512,75.67567567567568,1.554183400951247,3.609773843697736
25,75,50,66.02702702702702,74.32432432432432,1.5463131842840034,3.692686143966869
50,100,50,66.1891891891892,74.32432432432432,1.5407742946329523,3.6101820138122545
75,125,50,65.4054054054054,74.32432432432432,1.5355019068438165,3.6300123522837864
100,150,50,65.9189189189189,74.32432432432432,1.5468700683050642,3.6953761399856706
125,175,50,65.4864864864865,74.32432432432432,1.553811318079036,3.7381845375690177
