start,end,n_frames,mean_pct_disallowed,max_pct_disallowed,mean_rama_distance,max_rama_distance
0,50,50,67.26315789473684,100.0,1.5500196356523521,3.609773822965355
25,75,50,67.13157894736842,100.0,1.5419338317838454,3.6926860949845506
50,100,50,67.21052631578948,100.0,1.5357568026924768,3.6101819326053985
75,125,50,66.44736842105263,100.0,1.5304580082388544,3.6300122810045616
100,150,50,66.94736842105263,100.0,1.5431065087059868,3.69537608864217
125,175,50,66.52631578947368,100.0,1.5497949931838693,3.7381844921300664
