run_id,n_samples,n_positive,n_negative,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct_fpr,recall_at_5pct_fpr
run1,50,11,39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
run2,50,11,39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
run3,50,11,39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
run4,50,11,39,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
