start,end,n_frames,mean_pct_disallowed,max_pct_disallowed,mean_rama_distance,max_rama_distance
0,50,50,66.13513513513512,75.67567567567568,1.5541834040202605,3.609773817062378
25,75,50,66.02702702702702,74.32432432432432,1.5463131863357045,3.692686023712158
50,100,50,66.1891891891892,74.32432432432432,1.5407742932952337,3.610181965827942
75,125,50,65.4054054054054,74.32432432432432,1.5355019094135511,3.6300124025344847
100,150,50,65.9189189189189,74.32432432432432,1.5468700720299335,3.6953760766983033
125,175,50,65.4864864864865,74.32432432432432,1.5538113156056688,3.7381844615936277
