z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,t,cluster
-3.115193,-1.341609,-0.18557265,-0.2635475,0.43343318,0.735894,-0.73759145,0.09569217,1.6258366,-1.8036704,2.2088935,-0.10239671,-0.74002874,-0.75487316,0.6334069,-1.2797952,0,-1
-3.7441065,-2.1997683,-0.0037032533,-0.5416275,0.37828588,0.9548635,-0.6104778,-0.01980108,1.7424567,-2.3786461,2.9966383,-0.82156616,-0.117663,-1.1491746,0.93021894,-1.0613191,1,-1
-1.5515379,-2.0088553,0.91071755,0.088689834,-0.7094057,-0.06256783,0.52383715,-0.43693691,-0.14697918,-1.7280589,2.1993628,-2.1633134,1.1638455,-0.16602616,0.23400971,1.1373277,2,-1
-0.109614134,-1.0110781,1.4992255,0.766865,-1.1617602,-1.1955253,0.8300862,-0.6087275,-1.4218616,-0.63232136,1.0645335,-2.1342041,1.2420192,0.6939493,-0.64600706,2.000837,3,-1
0.2591445,0.3082613,1.6773826,1.259557,-1.2943696,-1.4517844,0.31103092,0.052496746,-1.4096829,-0.034329377,0.16087067,-0.66220295,-0.2556306,1.177277,-1.1399595,1.3117484,4,-1
-0.16954237,1.3278861,1.4762107,1.4729047,-1.3645258,-0.97245944,-0.44604823,0.98145294,-0.672593,0.16135949,-0.46839625,1.1235892,-1.7829051,1.2455933,-1.3640952,0.26934898,5,-1
